ligne_ID,id_sortie,unique_hunter_ID,id_chasseur,village,religion,niveau_etudes,activite_1,temps_chasseur,frequence_chasse,age_chasseur,type_de_la_sortie,mois,duree,distance_lieu_chasse_hr,strategie_primaire,strategie_chasse,type_fleches,type_pieges,nombre_pieges,type_chasse,periode_chasse,base_chasse,detail_base_chasse,depenses_totales,nombre_personnes,especes_chassees,succes,kg_tot,kg_rongeurs,kg_petitsongules,kg_ongulesmoyens,kg_grandsongules,kg_sangliers,kg_primates,kg_reptiles,kg_oiseaux,kg_autres,CPUE_duree,CPUE_duree_rongeurs,CPUE_duree_petitsongules,CPUE_duree_ongulesmoyens,CPUE_duree_grandsongules,CPUE_duree_sangliers,CPUE_duree_primates,CPUE_duree_reptiles,CPUE_duree_oiseaux,CPUE_duree_autres,CPUE_distance,CPUE_distance_rongeurs,CPUE_distance_petitsongules,CPUE_distance_ongulesmoyens,CPUE_distance_grandsongules,CPUE_distance_sangliers,CPUE_distance_primates,CPUE_distance_reptiles,CPUE_distance_oiseaux,CPUE_distance_autres
1,297,1_1,1,1,autre,aucune,1,31,0.99,45,effectuee&declaree,10,1,0.33,pieges,pieges,,nylon,,individuelle,jour,village,bopomi,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,286,1_1,1,1,autre,aucune,1,31,0.99,45,effectuee&declaree,10,0.5,0.2,pieges,pieges,,cable_nylon,,individuelle,jour,village,bapomi,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,420,1_1,1,1,autre,aucune,1,31,0.99,45,effectueeNONdeclaree,12,1,0.5,arc&fleches,arc&fleches,bonsele_bosiki,,150,individuelle,nuit,village,mbungusani,0,0,rongeurs,1,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
4,141,1_1,1,1,autre,aucune,1,31,0.99,45,effectuee&declaree,9,1,0.5,pieges,pieges,,,,individuelle,jour,village,mbendembende,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,310,1_1,1,1,autre,aucune,1,31,0.99,45,effectuee&declaree,10,0.5,0.2,pieges,pieges,,cable,,individuelle,jour,village,bopomi,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,368,1_1,1,1,autre,aucune,1,31,0.99,45,planifiee,11,1,0.33,pieges,pieges,,nylon,1,individuelle,jour,village,bopomi,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,472,1_1,1,1,autre,aucune,1,31,0.99,45,effectueeNONdeclaree,2,0.5,0.5,pieges,pieges,,cable,58,individuelle,les_deux,village,bekombo,0,0,oiseaux,1,0.25,0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0
8,147,1_1,1,1,autre,aucune,1,31,0.99,45,effectueeNONdeclaree,9,1,0.25,pieges,pieges_autre,,nylon_cable,,individuelle,jour,village,bapomi,0,0,rongeurs,1,2.2,2.2,0,0,0,0,0,0,0,0,2.2,2.2,0,0,0,0,0,0,0,0,8.8,8.8,0,0,0,0,0,0,0,0
9,289,1_1,1,1,autre,aucune,1,31,0.99,45,effectuee&declaree,10,0.5,0.2,pieges,pieges,,cable_nylon,,individuelle,jour,village,bapomi,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,562,1_1,1,1,autre,aucune,1,31,0.99,45,effectueeNONdeclaree,4,0.5,1,pieges,pieges,,cable,50,individuelle,les_deux,village,lompole,0,0,rongeurs,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,538,1_10,10,1,protestant,primaire,1,16,0.354,44,effectueeNONdeclaree,3,0.5,1,fusil,fusil,,,1,individuelle,les_deux,village,bekombo,0,0,singes,1,4.5,0,0,0,0,0,4.5,0,0,0,9,0,0,0,0,0,9,0,0,0,4.5,0,0,0,0,0,4.5,0,0,0
12,296,1_10,10,1,protestant,primaire,1,16,0.354,44,effectuee&declaree,10,0.5,1,pieges,pieges,,nylon,,individuelle,jour,village,iduende,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,363,1_10,10,1,protestant,primaire,1,16,0.354,44,effectueeNONdeclaree,11,1,0.75,fusil,fusil_autre,,,1,individuelle,nuit,village,mbendembende,0,0,petitsongules,1,6.35,0,6.35,0,0,0,0,0,0,0,6.35,0,6.35,0,0,0,0,0,0,0,8.466666667,0,8.466666667,0,0,0,0,0,0,0
14,374,1_10,10,1,protestant,primaire,1,16,0.354,44,effectueeNONdeclaree,11,1,1,pieges,pieges,,cable,1,individuelle,jour,village,pomi,0,0,ongulesmoyens,1,11.88,0,0,11.88,0,0,0,0,0,0,11.88,0,0,11.88,0,0,0,0,0,0,11.88,0,0,11.88,0,0,0,0,0,0
15,531,1_11,11,1,protestant,secondaire,1,10,0.354,40,effectueeNONdeclaree,3,1,1,arc&fleches,arc&fleches,bosiki,,4,individuelle,les_deux,village,bekombo,0,1,sangliers,1,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0,30,0,0,0,0
16,375,1_11,11,1,protestant,secondaire,1,10,0.354,40,effectueeNONdeclaree,11,1,2,pieges,pieges,,cable,1,individuelle,jour,village,idueyoto,0,0,autres,1,1.46,0,0,0,0,0,0,1.46,0,0,1.46,0,0,0,0,0,0,1.46,0,0,0.73,0,0,0,0,0,0,0.73,0,0
