raw_ID,unique_hunter_ID,data_type,id_chasseur,village,religion,niveau_etudes,activite_1,temps_chasseur,frequence_chasse,duree,mois,periode_chasse,base_chasse,detail_base_chasse,distance_lieu_chasse_hr,type_chasse,strategie_primaire,strategie_chasse,type_fleches,type_pieges,nombre_pieges,depenses_nourritoure,depenses_transport,depenses_utiles_chasse,depenses_location,depenses_cartuches,nombre_personnes,nombre_membre_famille,nombre_amis,nombre_personnes_inconnues,especes_cible,detail_especes_cible,estiamtion_succes_chasse,autres_activites,detail_autres_activites,succes_chasse_opinion,especes_chassees,detail_especes_chasses,Nbr_Canivores,Nbr_pangolin,Nbr_Reptiles,Nbr_small_ungulates,Nbr_average_ungulates,Nbr_large_ungulates,Nbr_primates,Nbr_hogs,Nbr_rodent,Nbr_bird,Nbr_autres,Nbr_Tot_Ani,Kg_Canivores,Kg_pangolin,Kg_Reptiles,Kg_small_ungulates,Kg_average_ungulates,Kg_large_ungulates,Kg_primates,Kg_hogs,kg_rodent,Kg_bird,Kg_autres,Kg_Tot_Ani,CPUE_animal_duree,CPUE_kg_all_duree,CPUE_ungulates,CPUE_small_ungulates,CPUE_average_ungulates,CPUE_large_ungulates,CPUE_hogs,CPUE_primates,CPUE_rodent,CPUE_Reptiles,CPUE_autres
1,1_1,Q4,1,1,autre,aucune,1,31,0.99,1,10,jour,village,bopomi,0.33,individuelle,pieges,pieges,,nylon,NA,0,0,0,0,0,0,0,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1_1,Q4,1,1,autre,aucune,1,31,0.99,0.5,10,jour,village,bapomi,0.2,individuelle,pieges,pieges,,cable_nylon,NA,0,0,0,0,0,0,0,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1_1,Q4,1,1,autre,aucune,1,31,0.99,1,12,nuit,village,mbungusani,0.5,individuelle,arc&fleches,arc&fleches,bonsele_bosiki,,150,0,0,0,0,0,0,NA,NA,NA,,il_tait_seul,,non,,oui,rongeurs,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.992869081,0,0,1.992869081,1,1.992869081,0,0,0,0,0,0,1.992869081,0,0
4,1_1,Q4,1,1,autre,aucune,1,31,0.99,1,9,jour,village,mbendembende,0.5,individuelle,pieges,pieges,,,NA,0,0,0,0,0,0,0,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1_1,Q4,1,1,autre,aucune,1,31,0.99,0.5,10,jour,village,bopomi,0.2,individuelle,pieges,pieges,,cable,NA,0,0,0,0,0,0,0,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1_1,Q4,1,1,autre,aucune,1,31,0.99,0.5,2,les_deux,village,1,0.5,individuelle,pieges,pieges,,cable,58,0,0,0,0,0,0,0,0,0,,seul,,peche_pfnl,champignon_petits_poissons,oui,oiseaux,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.145,0,1.145,2,2.29,0,0,0,0,0,0,0,0,1.145
8,1_1,Q4,1,1,autre,aucune,1,31,0.99,1,9,jour,village,bapomi,0.25,individuelle,pieges,pieges_autre,,nylon_cable,NA,0,0,0,0,0,0,0,0,0,,,,non,,oui,rongeurs,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.992869081,0,0,1.992869081,1,1.992869081,0,0,0,0,0,0,1.992869081,0,0
9,1_1,Q4,1,1,autre,aucune,1,31,0.99,0.5,10,jour,village,bapomi,0.2,individuelle,pieges,pieges,,cable_nylon,NA,0,0,0,0,0,0,0,0,0,,,,non,,non,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1_1,Q4,1,1,autre,aucune,1,31,0.99,0.5,4,les_deux,village,lompole,1,individuelle,pieges,pieges,,cable,50,0,0,0,0,0,0,0,0,NA,NA,seul,NA,non,,oui,rongeurs,,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3.985738162,0,0,3.985738162,4,7.971476323,0,0,0,0,0,0,7.971476323,0,0
11,1_10,Q4,10,1,protestant,primaire,1,16,0.354,0.5,3,les_deux,village,1,1,individuelle,fusil,fusil,,,1,0,0,0,0,0,0,0,0,0,NA,seul,NA,non,,oui,singes,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.636750903,0,0,0,0,4.636750903,2,9.273501805,0,0,0,0,0,9.273501805,0,0,0
