Source,mois,espece,espece,Genre,age,sexe,en_allaitement,enceinte,condition,poids_kg,circumference_cou,longueur_cm,provenance,strategie,jour_nuit,Dest_jeter,Dest_conso,Dest_vente,Dest_paim,Dest_don,kg_jeter,kg_conso,kg_vente,kg_paim,kg_don,condition_vente,prix_vente_fc,prix_vente_kg,village,ID_sortie,unique_hunter_ID
Q4,6,colobe_magistrat,colobe_magistrat,primates,adulte,femelle,non,non,frais,8,22,45,marecages,fusil,jour,0,0.25,0.5,0,0.25,0,2,4,0,2,morceaux,15000,3750,5,1,5_1
Q4,6,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,fume,1.6,15,38,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,1.6,0,0,entiere,5000,3125,5,10,5_7
Q4,8,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3.5,16,37,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,3.5,0,0,0,,,,1,100,1_2
Q4,8,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,3.6,19.5,38,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,3.6,0,0,0,,,,1,101,1_3
Q4,8,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,2.3,15,34,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,2.3,0,0,0,,,,1,101,1_3
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,femelle,non,non,frais,0.4,NA,NA,foret_primaire,arc&fleches,nuit,0,0.25,0.75,0,0,0,0.1,0.3,0,0,morceaux,4500,15000,5,102,5_15
Q4,7,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,male,,,frais,19,46,61,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,19,0,0,entiere,24000,1263.157895,5,103,5_2
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3.6,22,35,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,3.6,0,0,entiere,6000,1666.666667,5,106,5_16
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,3.3,21,35,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,3.3,0,0,entiere,6000,1818.181818,5,106,5_16
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,3,20,32,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,3,0,0,entiere,5000,1666.666667,5,106,5_16
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,2.8,20,31,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,2.8,0,0,0,,,,5,106,5_16
Q4,7,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,inconnu,,,fume,1.8,NA,NA,foret_primaire,pieges,jour,0,0,1,0,0,0,0,1.8,0,0,moities,12000,6666.666667,5,107,5_6
Q4,7,cephalophe_dos_jaune,cephalophe_dos_jaune,ungulate_large,adulte,inconnu,,,fume,2.6,NA,NA,foret_primaire,pieges,jour,0,0.25,0.5,0.25,0,0,0.65,1.3,0.65,0,quarts,15000,11538.46154,5,107,5_6
